"geneSymbol","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ADCY4","BCK_eIF4E_RIP_2016.csv~1.3656",NA,NA
"ADCY7","BCK_eIF4E_RIP_2016.csv~1.821",NA,NA
"ADD1","BCK_eIF4E_RIP_2016.csv~1.3070",NA,"MG_eIF4E_OE_DSG_2018.csv~1.40"
"ADIPOR2","BCK_eIF4E_RIP_2016.csv~1.535",NA,NA
"ADRBK1","BCK_eIF4E_RIP_2016.csv~1.1279",NA,NA
"ADRBK2","BCK_eIF4E_RIP_2016.csv~1.1802",NA,NA
"AEBP1","BCK_eIF4E_RIP_2016.csv~1.2410",NA,NA
"AES","BCK_eIF4E_RIP_2016.csv~1.2591",NA,NA
"AFAP1","BCK_eIF4E_RIP_2016.csv~1.3153",NA,NA
"AFAP1-AS1","BCK_eIF4E_RIP_2016.csv~1.3234",NA,NA
"AFF1","BCK_eIF4E_RIP_2016.csv~1.492",NA,NA
"AFF2","BCK_eIF4E_RIP_2016.csv~1.298",NA,NA
"AFF3","BCK_eIF4E_RIP_2016.csv~1.1252",NA,NA
"AFG3L1P","BCK_eIF4E_RIP_2016.csv~1.3250",NA,NA
"AFG3L2","BCK_eIF4E_RIP_2016.csv~1.1266",NA,NA
"AFMID","BCK_eIF4E_RIP_2016.csv~1.512",NA,NA
"AGAP2","BCK_eIF4E_RIP_2016.csv~1.1517",NA,NA
"AGAP5","BCK_eIF4E_RIP_2016.csv~1.3640",NA,NA
"AGAP6","BCK_eIF4E_RIP_2016.csv~1.3603",NA,NA
"AGBL2","BCK_eIF4E_RIP_2016.csv~1.3446",NA,NA
"AGBL5","BCK_eIF4E_RIP_2016.csv~1.1881",NA,NA
"AGER","BCK_eIF4E_RIP_2016.csv~1.1974",NA,NA
"AGO1","BCK_eIF4E_RIP_2016.csv~1.2113",NA,NA
"AGO2","BCK_eIF4E_RIP_2016.csv~1.1681",NA,NA
"AGO4","BCK_eIF4E_RIP_2016.csv~1.1169",NA,NA
"AGPAT1","BCK_eIF4E_RIP_2016.csv~1.2199",NA,NA
"AGPAT3","BCK_eIF4E_RIP_2016.csv~1.2663",NA,NA
"AGPAT6","BCK_eIF4E_RIP_2016.csv~1.1910",NA,NA
"AHCYL1","BCK_eIF4E_RIP_2016.csv~1.983",NA,NA
"AHCYL2","BCK_eIF4E_RIP_2016.csv~1.2840",NA,NA
"AHDC1","BCK_eIF4E_RIP_2016.csv~1.3156",NA,NA
"AHNAK2","BCK_eIF4E_RIP_2016.csv~1.3643",NA,NA
"AHRR","BCK_eIF4E_RIP_2016.csv~1.2563",NA,NA
"AHSA1","BCK_eIF4E_RIP_2016.csv~1.2009",NA,NA
"AHSA2","BCK_eIF4E_RIP_2016.csv~1.1081",NA,NA
"AICDA","BCK_eIF4E_RIP_2016.csv~1.3505",NA,NA
"AIFM1","BCK_eIF4E_RIP_2016.csv~1.1501",NA,NA
"AIFM2","BCK_eIF4E_RIP_2016.csv~1.3020",NA,NA
"AK1","BCK_eIF4E_RIP_2016.csv~1.3597",NA,NA
"AK2","BCK_eIF4E_RIP_2016.csv~1.1486",NA,NA
"AKAP1","BCK_eIF4E_RIP_2016.csv~1.1608",NA,NA
"AKAP13","BCK_eIF4E_RIP_2016.csv~1.1285",NA,NA
"AKAP8","BCK_eIF4E_RIP_2016.csv~1.2624",NA,NA
"AKAP8L","BCK_eIF4E_RIP_2016.csv~1.205",NA,NA
"AKAP9","BCK_eIF4E_RIP_2016.csv~1.14",NA,NA
"AKNA","BCK_eIF4E_RIP_2016.csv~1.500",NA,NA
"AKR1B1","BCK_eIF4E_RIP_2016.csv~1.1521",NA,NA
"AKR7A3","BCK_eIF4E_RIP_2016.csv~1.3588",NA,NA
"AKR7L","BCK_eIF4E_RIP_2016.csv~1.3734",NA,NA
"AKT1","BCK_eIF4E_RIP_2016.csv~1.1579",NA,NA
"AKT2","BCK_eIF4E_RIP_2016.csv~1.973",NA,NA
"ALAD","BCK_eIF4E_RIP_2016.csv~1.3302",NA,NA
"ALAS1","BCK_eIF4E_RIP_2016.csv~1.1448",NA,NA
"ALAS2","BCK_eIF4E_RIP_2016.csv~1.3705",NA,NA
"ALDH16A1","BCK_eIF4E_RIP_2016.csv~1.1095",NA,NA
"ALDH2","BCK_eIF4E_RIP_2016.csv~1.3468",NA,NA
"ALDH3A2","BCK_eIF4E_RIP_2016.csv~1.1956",NA,NA
"ALG9","BCK_eIF4E_RIP_2016.csv~1.191",NA,NA
"ALKBH6","BCK_eIF4E_RIP_2016.csv~1.2494",NA,"MG_eIF4E_OE_DSG_2018.csv~1.155"
"ALMS1","BCK_eIF4E_RIP_2016.csv~1.101",NA,NA
"ALOX12P2","BCK_eIF4E_RIP_2016.csv~1.575",NA,NA
"ALOX5","BCK_eIF4E_RIP_2016.csv~1.1173",NA,NA
"ALS2","BCK_eIF4E_RIP_2016.csv~1.525",NA,NA
"ALX3","BCK_eIF4E_RIP_2016.csv~1.3800",NA,NA
"AMER1","BCK_eIF4E_RIP_2016.csv~1.2313",NA,NA
"AMMECR1L","BCK_eIF4E_RIP_2016.csv~1.1913",NA,NA
"AMPD2","BCK_eIF4E_RIP_2016.csv~1.852",NA,NA
"AMPD3","BCK_eIF4E_RIP_2016.csv~1.960",NA,NA
"AMT","BCK_eIF4E_RIP_2016.csv~1.2646",NA,NA
"AMY2B","BCK_eIF4E_RIP_2016.csv~1.1678",NA,NA
"ANAPC1","BCK_eIF4E_RIP_2016.csv~1.982",NA,NA
"ANAPC2","BCK_eIF4E_RIP_2016.csv~1.608",NA,NA
"ANAPC5","BCK_eIF4E_RIP_2016.csv~1.1002",NA,NA
"ANAPC7","BCK_eIF4E_RIP_2016.csv~1.1992",NA,NA
"ANGEL1","BCK_eIF4E_RIP_2016.csv~1.601",NA,NA
"ANGPTL6","BCK_eIF4E_RIP_2016.csv~1.679",NA,NA
"ANK1","BCK_eIF4E_RIP_2016.csv~1.1260",NA,"MG_eIF4E_OE_DSG_2018.csv~1.3;MG_eIF4E_OE_DSG_2018.csv~1.183"
"ANKDD1A","BCK_eIF4E_RIP_2016.csv~1.2821",NA,NA
"ANKFY1","BCK_eIF4E_RIP_2016.csv~1.2204",NA,NA
"ANKHD1","BCK_eIF4E_RIP_2016.csv~1.440",NA,NA
"ANKLE1","BCK_eIF4E_RIP_2016.csv~1.954",NA,NA
"ANKLE2","BCK_eIF4E_RIP_2016.csv~1.2673",NA,NA
"ANKRD11","BCK_eIF4E_RIP_2016.csv~1.3190",NA,NA
"ANKRD13A","BCK_eIF4E_RIP_2016.csv~1.1660",NA,NA
"ANKRD13B","BCK_eIF4E_RIP_2016.csv~1.2276",NA,NA
"ANKRD13D","BCK_eIF4E_RIP_2016.csv~1.1919",NA,NA
"ANKRD17","BCK_eIF4E_RIP_2016.csv~1.667",NA,NA
"ANKRD19P","BCK_eIF4E_RIP_2016.csv~1.3668",NA,NA
"ANKRD20A4","BCK_eIF4E_RIP_2016.csv~1.3644",NA,NA
"ANKRD20A5P","BCK_eIF4E_RIP_2016.csv~1.2724",NA,NA
"ANKRD23","BCK_eIF4E_RIP_2016.csv~1.1961",NA,NA
"ANKRD24","BCK_eIF4E_RIP_2016.csv~1.3332",NA,NA
"ANKRD27","BCK_eIF4E_RIP_2016.csv~1.935",NA,NA
"ANKRD40","BCK_eIF4E_RIP_2016.csv~1.2501",NA,NA
"ANKRD52","BCK_eIF4E_RIP_2016.csv~1.1977",NA,NA
"ANKRD54","BCK_eIF4E_RIP_2016.csv~1.2731",NA,NA
"ANKRD61","BCK_eIF4E_RIP_2016.csv~1.3079",NA,NA
"ANKS1A","BCK_eIF4E_RIP_2016.csv~1.1932",NA,NA
"ANKS3","BCK_eIF4E_RIP_2016.csv~1.1057",NA,"MG_eIF4E_OE_DSG_2018.csv~1.358;MG_eIF4E_OE_DSG_2018.csv~1.359"
"ANKS6","BCK_eIF4E_RIP_2016.csv~1.2595",NA,NA
"ANKZF1","BCK_eIF4E_RIP_2016.csv~1.2282",NA,NA
"ANO7","BCK_eIF4E_RIP_2016.csv~1.3730",NA,NA
"ANO9","BCK_eIF4E_RIP_2016.csv~1.687",NA,NA
"ANP32A","BCK_eIF4E_RIP_2016.csv~1.735",NA,NA
"ANP32B","BCK_eIF4E_RIP_2016.csv~1.1837",NA,NA
"ANXA11","BCK_eIF4E_RIP_2016.csv~1.1145",NA,NA
"ANXA6","BCK_eIF4E_RIP_2016.csv~1.613",NA,NA
"ANXA7","BCK_eIF4E_RIP_2016.csv~1.733",NA,NA
"ANXA9","BCK_eIF4E_RIP_2016.csv~1.3758",NA,NA
"AP1B1","BCK_eIF4E_RIP_2016.csv~1.1001",NA,NA
"AP1G1","BCK_eIF4E_RIP_2016.csv~1.21",NA,"MG_eIF4E_OE_DSG_2018.csv~1.137"
"AP1G2","BCK_eIF4E_RIP_2016.csv~1.2184",NA,NA
"AP1M1","BCK_eIF4E_RIP_2016.csv~1.1449",NA,NA
"AP2A1","BCK_eIF4E_RIP_2016.csv~1.1356",NA,NA
"AP2A2","BCK_eIF4E_RIP_2016.csv~1.2181",NA,NA
"AP2B1","BCK_eIF4E_RIP_2016.csv~1.407",NA,NA
"AP2M1","BCK_eIF4E_RIP_2016.csv~1.1842",NA,NA
"AP3D1","BCK_eIF4E_RIP_2016.csv~1.2243",NA,NA
"AP4B1","BCK_eIF4E_RIP_2016.csv~1.1447",NA,NA
"APAF1","BCK_eIF4E_RIP_2016.csv~1.1232",NA,NA
"APBB1IP","BCK_eIF4E_RIP_2016.csv~1.557",NA,NA
"APBB3","BCK_eIF4E_RIP_2016.csv~1.1143",NA,NA
"APEX1","BCK_eIF4E_RIP_2016.csv~1.829",NA,NA
"APLP2","BCK_eIF4E_RIP_2016.csv~1.2359",NA,NA
"APOL1","BCK_eIF4E_RIP_2016.csv~1.3683",NA,NA
"APOL2","BCK_eIF4E_RIP_2016.csv~1.2800",NA,NA
"APOL3","BCK_eIF4E_RIP_2016.csv~1.987",NA,NA
"ARAF","BCK_eIF4E_RIP_2016.csv~1.2544",NA,NA
"ARAP1","BCK_eIF4E_RIP_2016.csv~1.614",NA,NA
"ARCN1","BCK_eIF4E_RIP_2016.csv~1.736",NA,NA
"AREL1","BCK_eIF4E_RIP_2016.csv~1.1766",NA,NA
"ARF3","BCK_eIF4E_RIP_2016.csv~1.329",NA,NA
"ARFGAP3","BCK_eIF4E_RIP_2016.csv~1.1849",NA,NA
"ARFGEF2","BCK_eIF4E_RIP_2016.csv~1.303",NA,NA
"ARFIP2","BCK_eIF4E_RIP_2016.csv~1.1355",NA,NA
"ARGLU1","BCK_eIF4E_RIP_2016.csv~1.129",NA,NA
"ARHGAP1","BCK_eIF4E_RIP_2016.csv~1.2910",NA,NA
"ARHGAP11B","BCK_eIF4E_RIP_2016.csv~1.2577",NA,"MG_eIF4E_OE_DSG_2018.csv~1.433"
"ARHGAP17","BCK_eIF4E_RIP_2016.csv~1.2795",NA,"MG_eIF4E_OE_DSG_2018.csv~1.297"
"ARHGAP19","BCK_eIF4E_RIP_2016.csv~1.2222",NA,NA
"ARHGAP21","BCK_eIF4E_RIP_2016.csv~1.2293",NA,NA
"ARHGAP25","BCK_eIF4E_RIP_2016.csv~1.1215",NA,NA
"ARHGAP26","BCK_eIF4E_RIP_2016.csv~1.2149",NA,NA
"ARHGAP27","BCK_eIF4E_RIP_2016.csv~1.1894",NA,NA
"ARHGAP30","BCK_eIF4E_RIP_2016.csv~1.2060",NA,NA
"ARHGAP33","BCK_eIF4E_RIP_2016.csv~1.1418",NA,NA
"ARHGAP35","BCK_eIF4E_RIP_2016.csv~1.959",NA,NA
"ARHGAP39","BCK_eIF4E_RIP_2016.csv~1.2711",NA,NA
"ARHGAP4","BCK_eIF4E_RIP_2016.csv~1.188",NA,NA
"ARHGAP9","BCK_eIF4E_RIP_2016.csv~1.2655",NA,NA
"ARHGEF1","BCK_eIF4E_RIP_2016.csv~1.1799",NA,NA
"ARHGEF10","BCK_eIF4E_RIP_2016.csv~1.3772",NA,NA
"ARHGEF11","BCK_eIF4E_RIP_2016.csv~1.3694",NA,NA
"ARHGEF18","BCK_eIF4E_RIP_2016.csv~1.222",NA,NA
"ARHGEF19","BCK_eIF4E_RIP_2016.csv~1.2560",NA,NA
"ARHGEF2","BCK_eIF4E_RIP_2016.csv~1.644",NA,NA
"ARHGEF39","BCK_eIF4E_RIP_2016.csv~1.1705",NA,NA
"ARHGEF7","BCK_eIF4E_RIP_2016.csv~1.1400",NA,NA
"ARHGEF9","BCK_eIF4E_RIP_2016.csv~1.1794",NA,NA
"ARID1A","BCK_eIF4E_RIP_2016.csv~1.2767",NA,NA
"ARID1B","BCK_eIF4E_RIP_2016.csv~1.1052",NA,NA
"ARID3A","BCK_eIF4E_RIP_2016.csv~1.3637",NA,NA
"ARID3B","BCK_eIF4E_RIP_2016.csv~1.3520",NA,NA
"ARID4A","BCK_eIF4E_RIP_2016.csv~1.442",NA,NA
"ARID4B","BCK_eIF4E_RIP_2016.csv~1.1109",NA,NA
"ARIH2","BCK_eIF4E_RIP_2016.csv~1.2788",NA,"MG_eIF4E_OE_DSG_2018.csv~1.374;MG_eIF4E_OE_DSG_2018.csv~1.375;MG_eIF4E_OE_DSG_2018.csv~1.376"
"ARL17A","BCK_eIF4E_RIP_2016.csv~1.2912",NA,NA
"ARL8A","BCK_eIF4E_RIP_2016.csv~1.2316",NA,NA
"ARMC12","BCK_eIF4E_RIP_2016.csv~1.3808",NA,NA
"ARMCX3","BCK_eIF4E_RIP_2016.csv~1.619",NA,NA
"ARNT","BCK_eIF4E_RIP_2016.csv~1.1922",NA,NA
"ARNTL","BCK_eIF4E_RIP_2016.csv~1.820",NA,NA
"ARPC1A","BCK_eIF4E_RIP_2016.csv~1.355",NA,NA
"ARPC2","BCK_eIF4E_RIP_2016.csv~1.761",NA,NA
"ARPC4","BCK_eIF4E_RIP_2016.csv~1.789",NA,NA
"ARPC5L","BCK_eIF4E_RIP_2016.csv~1.2569",NA,NA
"ARRB2","BCK_eIF4E_RIP_2016.csv~1.2688",NA,NA
"ARSA","BCK_eIF4E_RIP_2016.csv~1.1689",NA,NA
"ASAP1","BCK_eIF4E_RIP_2016.csv~1.389",NA,NA
"ASAP3","BCK_eIF4E_RIP_2016.csv~1.3493",NA,NA
"ASB1","BCK_eIF4E_RIP_2016.csv~1.348",NA,NA
"ASCC2","BCK_eIF4E_RIP_2016.csv~1.3223",NA,NA
"ASH1L","BCK_eIF4E_RIP_2016.csv~1.611",NA,NA
"ASH2L","BCK_eIF4E_RIP_2016.csv~1.1626",NA,NA
"ASIC1","BCK_eIF4E_RIP_2016.csv~1.3265",NA,NA
"ASL","BCK_eIF4E_RIP_2016.csv~1.660",NA,NA
"ASPDH","BCK_eIF4E_RIP_2016.csv~1.3755",NA,NA
"ASPHD2","BCK_eIF4E_RIP_2016.csv~1.2855",NA,NA
"ASXL1","BCK_eIF4E_RIP_2016.csv~1.2406",NA,NA
"ASXL2","BCK_eIF4E_RIP_2016.csv~1.1041",NA,NA
"ATAD3A","BCK_eIF4E_RIP_2016.csv~1.1249",NA,NA
"ATAD3B","BCK_eIF4E_RIP_2016.csv~1.2395",NA,NA
"ATAD5","BCK_eIF4E_RIP_2016.csv~1.1502",NA,NA
"ATAT1","BCK_eIF4E_RIP_2016.csv~1.2940",NA,"MG_eIF4E_OE_DSG_2018.csv~1.163"
"ATF5","BCK_eIF4E_RIP_2016.csv~1.2089",NA,NA
"ATF6B","BCK_eIF4E_RIP_2016.csv~1.2533",NA,NA
"ATF7","BCK_eIF4E_RIP_2016.csv~1.2790",NA,NA
"ATF7IP","BCK_eIF4E_RIP_2016.csv~1.116",NA,NA
"ATG13","BCK_eIF4E_RIP_2016.csv~1.2418",NA,NA
"ATG14","BCK_eIF4E_RIP_2016.csv~1.2799",NA,NA
"ATG16L1","BCK_eIF4E_RIP_2016.csv~1.2171",NA,NA
"ATG16L2","BCK_eIF4E_RIP_2016.csv~1.1642",NA,NA
"ATG4B","BCK_eIF4E_RIP_2016.csv~1.1156",NA,NA
"ATG9B","BCK_eIF4E_RIP_2016.csv~1.3513",NA,NA
"ATHL1","BCK_eIF4E_RIP_2016.csv~1.1523",NA,NA
"ATIC","BCK_eIF4E_RIP_2016.csv~1.1476",NA,NA
"ATN1","BCK_eIF4E_RIP_2016.csv~1.1854",NA,NA
"ATP11A","BCK_eIF4E_RIP_2016.csv~1.2417",NA,NA
"ATP13A1","BCK_eIF4E_RIP_2016.csv~1.686",NA,NA
"ATP13A2","BCK_eIF4E_RIP_2016.csv~1.1732",NA,NA
"ATP13A4","BCK_eIF4E_RIP_2016.csv~1.2240",NA,NA
"ATP1A1","BCK_eIF4E_RIP_2016.csv~1.800",NA,NA
"ATP1A3","BCK_eIF4E_RIP_2016.csv~1.2897",NA,NA
"ATP2A1","BCK_eIF4E_RIP_2016.csv~1.2111",NA,NA
"ATP2A2","BCK_eIF4E_RIP_2016.csv~1.2052",NA,NA
"ATP2A3","BCK_eIF4E_RIP_2016.csv~1.624",NA,NA
"ATP4A","BCK_eIF4E_RIP_2016.csv~1.3331",NA,NA
"ATP5B","BCK_eIF4E_RIP_2016.csv~1.44",NA,NA
"ATP5SL","BCK_eIF4E_RIP_2016.csv~1.2223",NA,NA
"ATP6V0A1","BCK_eIF4E_RIP_2016.csv~1.3073",NA,NA
"ATP6V0A2","BCK_eIF4E_RIP_2016.csv~1.1331",NA,NA
"ATP6V1B2","BCK_eIF4E_RIP_2016.csv~1.395",NA,NA
"ATP6V1C2","BCK_eIF4E_RIP_2016.csv~1.2842",NA,NA
"ATP6V1G2","BCK_eIF4E_RIP_2016.csv~1.3585",NA,NA
"ATP7B","BCK_eIF4E_RIP_2016.csv~1.3610",NA,"MG_eIF4E_OE_DSG_2018.csv~1.14"
"ATP8B2","BCK_eIF4E_RIP_2016.csv~1.2732",NA,NA
"ATP8B3","BCK_eIF4E_RIP_2016.csv~1.3179",NA,NA
"ATP9B","BCK_eIF4E_RIP_2016.csv~1.226",NA,NA
"ATRIP","BCK_eIF4E_RIP_2016.csv~1.2196",NA,NA
"ATRN","BCK_eIF4E_RIP_2016.csv~1.2439",NA,NA
"ATXN1L","BCK_eIF4E_RIP_2016.csv~1.732",NA,NA
"ATXN2","BCK_eIF4E_RIP_2016.csv~1.1619",NA,NA
"ATXN2L","BCK_eIF4E_RIP_2016.csv~1.3031",NA,NA
"ATXN3","BCK_eIF4E_RIP_2016.csv~1.70",NA,NA
"ATXN7","BCK_eIF4E_RIP_2016.csv~1.370",NA,NA
"ATXN7L2","BCK_eIF4E_RIP_2016.csv~1.2262",NA,NA
"ATXN7L3","BCK_eIF4E_RIP_2016.csv~1.360",NA,NA
"AUP1","BCK_eIF4E_RIP_2016.csv~1.1011",NA,NA
"AURKB","BCK_eIF4E_RIP_2016.csv~1.1124",NA,NA
"AXIN1","BCK_eIF4E_RIP_2016.csv~1.491",NA,NA
"B3GAT3","BCK_eIF4E_RIP_2016.csv~1.527",NA,NA
"B3GNT8","BCK_eIF4E_RIP_2016.csv~1.3173",NA,NA
"B3GNTL1","BCK_eIF4E_RIP_2016.csv~1.1201",NA,NA
"B4GALNT3","BCK_eIF4E_RIP_2016.csv~1.3716",NA,NA
"B4GALT1","BCK_eIF4E_RIP_2016.csv~1.2438",NA,NA
"B4GALT5","BCK_eIF4E_RIP_2016.csv~1.1306",NA,NA
"BACE1","BCK_eIF4E_RIP_2016.csv~1.3224",NA,NA
"BAG6","BCK_eIF4E_RIP_2016.csv~1.568",NA,NA
"BAHD1","BCK_eIF4E_RIP_2016.csv~1.2516",NA,NA
"BAI1","BCK_eIF4E_RIP_2016.csv~1.2128",NA,NA
"BAI2","BCK_eIF4E_RIP_2016.csv~1.683",NA,NA
"BAIAP2L1","BCK_eIF4E_RIP_2016.csv~1.3416",NA,NA
"BAIAP2L2","BCK_eIF4E_RIP_2016.csv~1.3741",NA,NA
"BAP1","BCK_eIF4E_RIP_2016.csv~1.248",NA,NA
"BASP1","BCK_eIF4E_RIP_2016.csv~1.1508",NA,NA
"BAZ1A","BCK_eIF4E_RIP_2016.csv~1.691",NA,NA
"BAZ1B","BCK_eIF4E_RIP_2016.csv~1.1818",NA,NA
"BAZ2A","BCK_eIF4E_RIP_2016.csv~1.2939",NA,NA
"BBS1","BCK_eIF4E_RIP_2016.csv~1.2414",NA,NA
"BBS2","BCK_eIF4E_RIP_2016.csv~1.1132",NA,NA
"BCAS1","BCK_eIF4E_RIP_2016.csv~1.1770",NA,NA
"BCAT2","BCK_eIF4E_RIP_2016.csv~1.1036",NA,NA
"BCCIP","BCK_eIF4E_RIP_2016.csv~1.228",NA,NA
"BCL2","BCK_eIF4E_RIP_2016.csv~1.211",NA,NA
"BCL2L12","BCK_eIF4E_RIP_2016.csv~1.3226",NA,NA
"BCL2L2","BCK_eIF4E_RIP_2016.csv~1.3395",NA,NA
"BCL3","BCK_eIF4E_RIP_2016.csv~1.3415",NA,NA
"BCL6","BCK_eIF4E_RIP_2016.csv~1.1687",NA,NA
"BCL7A","BCK_eIF4E_RIP_2016.csv~1.2244",NA,NA
"BCL7B","BCK_eIF4E_RIP_2016.csv~1.1164",NA,NA
"BCL9","BCK_eIF4E_RIP_2016.csv~1.3464",NA,NA
"BCO2","BCK_eIF4E_RIP_2016.csv~1.3381",NA,NA
"BCOR","BCK_eIF4E_RIP_2016.csv~1.2605",NA,NA
"BCORL1","BCK_eIF4E_RIP_2016.csv~1.3443",NA,NA
"BCORP1","BCK_eIF4E_RIP_2016.csv~1.1369",NA,NA
"BCS1L","BCK_eIF4E_RIP_2016.csv~1.3147",NA,NA
"BDH1","BCK_eIF4E_RIP_2016.csv~1.2653",NA,NA
"BDP1","BCK_eIF4E_RIP_2016.csv~1.631",NA,NA
"BECN1","BCK_eIF4E_RIP_2016.csv~1.2390",NA,NA
"BHLHE40","BCK_eIF4E_RIP_2016.csv~1.3267",NA,NA
"BHLHE41","BCK_eIF4E_RIP_2016.csv~1.3582",NA,NA
