"GeneID","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000010671","BCK_eIF4E_RIP_2016.csv~1.2265",NA,NA
"ENSG00000010803","BCK_eIF4E_RIP_2016.csv~1.1165",NA,NA
"ENSG00000010810","BCK_eIF4E_RIP_2016.csv~1.3791",NA,NA
"ENSG00000010818","BCK_eIF4E_RIP_2016.csv~1.1330",NA,NA
"ENSG00000011007","BCK_eIF4E_RIP_2016.csv~1.1398",NA,NA
"ENSG00000011021","BCK_eIF4E_RIP_2016.csv~1.2289",NA,NA
"ENSG00000011052","BCK_eIF4E_RIP_2016.csv~1.3652",NA,NA
"ENSG00000011105","BCK_eIF4E_RIP_2016.csv~1.3206",NA,NA
"ENSG00000011143","BCK_eIF4E_RIP_2016.csv~1.2894",NA,NA
"ENSG00000011243","BCK_eIF4E_RIP_2016.csv~1.205",NA,NA
"ENSG00000011275","BCK_eIF4E_RIP_2016.csv~1.1318",NA,NA
"ENSG00000011304","BCK_eIF4E_RIP_2016.csv~1.1565",NA,NA
"ENSG00000011332","BCK_eIF4E_RIP_2016.csv~1.3651",NA,NA
"ENSG00000011451","BCK_eIF4E_RIP_2016.csv~1.3382",NA,NA
"ENSG00000011478","BCK_eIF4E_RIP_2016.csv~1.2416",NA,NA
"ENSG00000011485","BCK_eIF4E_RIP_2016.csv~1.1772",NA,NA
"ENSG00000012124","BCK_eIF4E_RIP_2016.csv~1.2459",NA,NA
"ENSG00000012211","BCK_eIF4E_RIP_2016.csv~1.2727",NA,NA
"ENSG00000012779","BCK_eIF4E_RIP_2016.csv~1.1173",NA,NA
"ENSG00000012817","BCK_eIF4E_RIP_2016.csv~1.1691",NA,NA
"ENSG00000012822","BCK_eIF4E_RIP_2016.csv~1.2723",NA,NA
"ENSG00000012963","BCK_eIF4E_RIP_2016.csv~1.1071",NA,NA
"ENSG00000013275","BCK_eIF4E_RIP_2016.csv~1.1210",NA,NA
"ENSG00000013288","BCK_eIF4E_RIP_2016.csv~1.2131",NA,NA
"ENSG00000013364","BCK_eIF4E_RIP_2016.csv~1.2073",NA,NA
"ENSG00000013374","BCK_eIF4E_RIP_2016.csv~1.1832",NA,NA
"ENSG00000013523","BCK_eIF4E_RIP_2016.csv~1.601",NA,NA
"ENSG00000013573","BCK_eIF4E_RIP_2016.csv~1.1852",NA,NA
"ENSG00000013725","BCK_eIF4E_RIP_2016.csv~1.3422",NA,NA
"ENSG00000013810","BCK_eIF4E_RIP_2016.csv~1.2928",NA,NA
