Gene,logFC,t,P.Value,adj.P.Val,B,ensembl_gene_id
REL,0.139234838,2.360876014,0.025536271,0.047965481,-4.940418135,ENSG00000162924
CCDC88A,0.140414663,2.459989123,0.020427435,0.03982721,-4.800451267,ENSG00000115355
NIN,0.142414216,2.361104578,0.025523253,0.047963567,-4.929211442,ENSG00000100503
ZNF610,4.772782031,7.917168546,2.40E-08,7.54E-07,5.576417659,ENSG00000167554
MUC6,4.993703841,10.55035091,8.20E-11,9.42E-09,10.3797307,ENSG00000184956
CDH4,5.379249266,9.803066929,3.75E-10,2.99E-08,8.40910331,ENSG00000179242
