"Row","GeneID","geneSymbol"
"MG_eIF4E_OE_DSG_2018.csv~1.71","ENSG00000086232","EIF2AK1"
"MG_eIF4E_OE_DSG_2018.csv~1.72","ENSG00000088305","DNMT3B"
"MG_eIF4E_OE_DSG_2018.csv~1.73","ENSG00000094916","CBX5"
"MG_eIF4E_OE_DSG_2018.csv~1.74","ENSG00000096872","IFT74"
"MG_eIF4E_OE_DSG_2018.csv~1.75","ENSG00000100181","TPTEP1"
"MG_eIF4E_OE_DSG_2018.csv~1.76","ENSG00000100284","TOM1"
"MG_eIF4E_OE_DSG_2018.csv~1.77","ENSG00000100567","PSMA3"
"MG_eIF4E_OE_DSG_2018.csv~1.78","ENSG00000101019","UQCC1"
"MG_eIF4E_OE_DSG_2018.csv~1.79","ENSG00000102034","ELF4"
"MG_eIF4E_OE_DSG_2018.csv~1.80","ENSG00000102910","LONP2"
"MG_eIF4E_OE_DSG_2018.csv~1.81","ENSG00000104660","LEPROTL1"
"MG_eIF4E_OE_DSG_2018.csv~1.82","ENSG00000104884","ERCC2"
"MG_eIF4E_OE_DSG_2018.csv~1.83","ENSG00000105671","DDX49"
"MG_eIF4E_OE_DSG_2018.csv~1.84","ENSG00000107185","RGP1"
"MG_eIF4E_OE_DSG_2018.csv~1.85","ENSG00000107186","MPDZ"
"MG_eIF4E_OE_DSG_2018.csv~1.86","ENSG00000107537","PHYH"
"MG_eIF4E_OE_DSG_2018.csv~1.87","ENSG00000108039","XPNPEP1"
"MG_eIF4E_OE_DSG_2018.csv~1.88","ENSG00000108506","INTS2"
"MG_eIF4E_OE_DSG_2018.csv~1.89","ENSG00000110075","PPP6R3"
"MG_eIF4E_OE_DSG_2018.csv~1.90","ENSG00000110696","C11orf58"
"MG_eIF4E_OE_DSG_2018.csv~1.91","ENSG00000111321","LTBR"
"MG_eIF4E_OE_DSG_2018.csv~1.92","ENSG00000112584","FAM120B"
"MG_eIF4E_OE_DSG_2018.csv~1.93","ENSG00000113068","PFDN1"
"MG_eIF4E_OE_DSG_2018.csv~1.94","ENSG00000113407","TARS"
"MG_eIF4E_OE_DSG_2018.csv~1.95","ENSG00000113810","SMC4"
"MG_eIF4E_OE_DSG_2018.csv~1.96","ENSG00000113810","SMC4"
"MG_eIF4E_OE_DSG_2018.csv~1.97","ENSG00000114867","EIF4G1"
"MG_eIF4E_OE_DSG_2018.csv~1.98","ENSG00000115020","PIKFYVE"
"MG_eIF4E_OE_DSG_2018.csv~1.99","ENSG00000118194","TNNT2"
"MG_eIF4E_OE_DSG_2018.csv~1.100","ENSG00000118194","TNNT2"
"MG_eIF4E_OE_DSG_2018.csv~1.101","ENSG00000119522","DENND1A"
"MG_eIF4E_OE_DSG_2018.csv~1.102","ENSG00000119912","IDE"
"MG_eIF4E_OE_DSG_2018.csv~1.103","ENSG00000120913","PDLIM2"
"MG_eIF4E_OE_DSG_2018.csv~1.104","ENSG00000122008","POLK"
"MG_eIF4E_OE_DSG_2018.csv~1.105","ENSG00000122026","RPL21"
"MG_eIF4E_OE_DSG_2018.csv~1.106","ENSG00000122557","HERPUD2"
"MG_eIF4E_OE_DSG_2018.csv~1.107","ENSG00000127463","EMC1"
"MG_eIF4E_OE_DSG_2018.csv~1.108","ENSG00000127483","HP1BP3"
"MG_eIF4E_OE_DSG_2018.csv~1.109","ENSG00000128656","CHN1"
"MG_eIF4E_OE_DSG_2018.csv~1.110","ENSG00000128739","SNRPN"
"MG_eIF4E_OE_DSG_2018.csv~1.111","ENSG00000130783","CCDC62"
"MG_eIF4E_OE_DSG_2018.csv~1.112","ENSG00000132676","DAP3"
"MG_eIF4E_OE_DSG_2018.csv~1.113","ENSG00000134056","MRPS36"
"MG_eIF4E_OE_DSG_2018.csv~1.114","ENSG00000134153","EMC7"
"MG_eIF4E_OE_DSG_2018.csv~1.115","ENSG00000134352","IL6ST"
"MG_eIF4E_OE_DSG_2018.csv~1.116","ENSG00000135679","MDM2"
"MG_eIF4E_OE_DSG_2018.csv~1.117","ENSG00000137210","TMEM14B"
"MG_eIF4E_OE_DSG_2018.csv~1.118","ENSG00000137210","TMEM14B"
"MG_eIF4E_OE_DSG_2018.csv~1.119","ENSG00000137713","PPP2R1B"
"MG_eIF4E_OE_DSG_2018.csv~1.120","ENSG00000137770","CTDSPL2"
"MG_eIF4E_OE_DSG_2018.csv~1.121","ENSG00000138381","ASNSD1"
"MG_eIF4E_OE_DSG_2018.csv~1.122","ENSG00000138867","GUCD1"
"MG_eIF4E_OE_DSG_2018.csv~1.123","ENSG00000140455","USP3"
"MG_eIF4E_OE_DSG_2018.csv~1.124","ENSG00000140612","SEC11A"
"MG_eIF4E_OE_DSG_2018.csv~1.125","ENSG00000142230","SAE1"
"MG_eIF4E_OE_DSG_2018.csv~1.126","ENSG00000143401","ANP32E"
"MG_eIF4E_OE_DSG_2018.csv~1.127","ENSG00000143434","SEMA6C"
"MG_eIF4E_OE_DSG_2018.csv~1.128","ENSG00000143486","EIF2D"
"MG_eIF4E_OE_DSG_2018.csv~1.129","ENSG00000147224","PRPS1"
"MG_eIF4E_OE_DSG_2018.csv~1.130","ENSG00000150093","ITGB1"
"MG_eIF4E_OE_DSG_2018.csv~1.131","ENSG00000155508","CNOT8"
"MG_eIF4E_OE_DSG_2018.csv~1.132","ENSG00000163939","PBRM1"
"MG_eIF4E_OE_DSG_2018.csv~1.133","ENSG00000164176","EDIL3"
"MG_eIF4E_OE_DSG_2018.csv~1.134","ENSG00000164329","TENT2"
"MG_eIF4E_OE_DSG_2018.csv~1.135","ENSG00000165006","UBAP1"
"MG_eIF4E_OE_DSG_2018.csv~1.136","ENSG00000166169","POLL"
"MG_eIF4E_OE_DSG_2018.csv~1.137","ENSG00000166747","AP1G1"
"MG_eIF4E_OE_DSG_2018.csv~1.138","ENSG00000167632","TRAPPC9"
"MG_eIF4E_OE_DSG_2018.csv~1.139","ENSG00000168002","POLR2G"
"MG_eIF4E_OE_DSG_2018.csv~1.140","ENSG00000168092","PAFAH1B2"
"MG_eIF4E_OE_DSG_2018.csv~1.141","ENSG00000168461","RAB31"
"MG_eIF4E_OE_DSG_2018.csv~1.142","ENSG00000169398","PTK2"
"MG_eIF4E_OE_DSG_2018.csv~1.143","ENSG00000169826","CSGALNACT2"
"MG_eIF4E_OE_DSG_2018.csv~1.144","ENSG00000172239","PAIP1"
"MG_eIF4E_OE_DSG_2018.csv~1.145","ENSG00000174720","LARP7"
"MG_eIF4E_OE_DSG_2018.csv~1.146","ENSG00000178741","COX5A"
"MG_eIF4E_OE_DSG_2018.csv~1.147","ENSG00000180376","CCDC66"
"MG_eIF4E_OE_DSG_2018.csv~1.148","ENSG00000183431","SF3A3"
"MG_eIF4E_OE_DSG_2018.csv~1.149","ENSG00000185480","PARPBP"
"MG_eIF4E_OE_DSG_2018.csv~1.150","ENSG00000185728","YTHDF3"
"MG_eIF4E_OE_DSG_2018.csv~1.151","ENSG00000186575","NF2"
"MG_eIF4E_OE_DSG_2018.csv~1.152","ENSG00000187079","TEAD1"
"MG_eIF4E_OE_DSG_2018.csv~1.153","ENSG00000197006","METTL9"
"MG_eIF4E_OE_DSG_2018.csv~1.154","ENSG00000221968","FADS3"
"MG_eIF4E_OE_DSG_2018.csv~1.155","ENSG00000239382","ALKBH6"
"MG_eIF4E_OE_DSG_2018.csv~1.156","ENSG00000243137","PSG4"
"MG_eIF4E_OE_DSG_2018.csv~1.157","ENSG00000245910","SNHG6"
"MG_eIF4E_OE_DSG_2018.csv~1.158","ENSG00000253729","PRKDC"
"MG_eIF4E_OE_DSG_2018.csv~1.159","ENSG00000099860","GADD45B"
"MG_eIF4E_OE_DSG_2018.csv~1.160","ENSG00000115524","SF3B1"
"MG_eIF4E_OE_DSG_2018.csv~1.161","ENSG00000125538","IL1B"
"MG_eIF4E_OE_DSG_2018.csv~1.162","ENSG00000136878","USP20"
"MG_eIF4E_OE_DSG_2018.csv~1.163","ENSG00000137343","ATAT1"
"MG_eIF4E_OE_DSG_2018.csv~1.164","ENSG00000139190","VAMP1"
"MG_eIF4E_OE_DSG_2018.csv~1.165","ENSG00000139620","KANSL2"
"MG_eIF4E_OE_DSG_2018.csv~1.166","ENSG00000160055","TMEM234"
"MG_eIF4E_OE_DSG_2018.csv~1.167","ENSG00000163728","TTC14"
"MG_eIF4E_OE_DSG_2018.csv~1.168","ENSG00000167733","HSD11B1L"
"MG_eIF4E_OE_DSG_2018.csv~1.169","ENSG00000168036","CTNNB1"
"MG_eIF4E_OE_DSG_2018.csv~1.170","ENSG00000170291","ELP5"
"MG_eIF4E_OE_DSG_2018.csv~1.171","ENSG00000197381","ADARB1"
"MG_eIF4E_OE_DSG_2018.csv~1.172","ENSG00000197989","SNHG12"
"MG_eIF4E_OE_DSG_2018.csv~1.173","ENSG00000002822","MAD1L1"
"MG_eIF4E_OE_DSG_2018.csv~1.174","ENSG00000009780","FAM76A"
"MG_eIF4E_OE_DSG_2018.csv~1.175","ENSG00000010626","LRRC23"
"MG_eIF4E_OE_DSG_2018.csv~1.176","ENSG00000011347","SYT7"
"MG_eIF4E_OE_DSG_2018.csv~1.177","ENSG00000011405","PIK3C2A"
"MG_eIF4E_OE_DSG_2018.csv~1.178","ENSG00000012171","SEMA3B"
"MG_eIF4E_OE_DSG_2018.csv~1.179","ENSG00000013561","RNF14"
"MG_eIF4E_OE_DSG_2018.csv~1.180","ENSG00000017260","ATP2C1"
"MG_eIF4E_OE_DSG_2018.csv~1.181","ENSG00000024526","DEPDC1"
"MG_eIF4E_OE_DSG_2018.csv~1.182","ENSG00000025434","NR1H3"
"MG_eIF4E_OE_DSG_2018.csv~1.183","ENSG00000029534","ANK1"
"MG_eIF4E_OE_DSG_2018.csv~1.184","ENSG00000039560","RAI14"
"MG_eIF4E_OE_DSG_2018.csv~1.185","ENSG00000041982","TNC"
"MG_eIF4E_OE_DSG_2018.csv~1.186","ENSG00000041982","TNC"
"MG_eIF4E_OE_DSG_2018.csv~1.187","ENSG00000042317","SPATA7"
"MG_eIF4E_OE_DSG_2018.csv~1.188","ENSG00000059145","UNKL"
"MG_eIF4E_OE_DSG_2018.csv~1.189","ENSG00000061987","MON2"
"MG_eIF4E_OE_DSG_2018.csv~1.190","ENSG00000065325","GLP2R"
"MG_eIF4E_OE_DSG_2018.csv~1.191","ENSG00000065559","MAP2K4"
"MG_eIF4E_OE_DSG_2018.csv~1.192","ENSG00000066027","PPP2R5A"
"MG_eIF4E_OE_DSG_2018.csv~1.193","ENSG00000067798","NAV3"
"MG_eIF4E_OE_DSG_2018.csv~1.194","ENSG00000068078","FGFR3"
"MG_eIF4E_OE_DSG_2018.csv~1.195","ENSG00000070182","SPTB"
"MG_eIF4E_OE_DSG_2018.csv~1.196","ENSG00000072135","PTPN18"
"MG_eIF4E_OE_DSG_2018.csv~1.197","ENSG00000072518","MARK2"
"MG_eIF4E_OE_DSG_2018.csv~1.198","ENSG00000073605","GSDMB"
"MG_eIF4E_OE_DSG_2018.csv~1.199","ENSG00000073921","PICALM"
"MG_eIF4E_OE_DSG_2018.csv~1.200","ENSG00000075711","DLG1"
"MG_eIF4E_OE_DSG_2018.csv~1.201","ENSG00000075826","SEC31B"
"MG_eIF4E_OE_DSG_2018.csv~1.202","ENSG00000078403","MLLT10"
"MG_eIF4E_OE_DSG_2018.csv~1.203","ENSG00000079156","OSBPL6"
"MG_eIF4E_OE_DSG_2018.csv~1.204","ENSG00000081177","EXD2"
"MG_eIF4E_OE_DSG_2018.csv~1.205","ENSG00000081803","CADPS2"
"MG_eIF4E_OE_DSG_2018.csv~1.206","ENSG00000087206","UIMC1"
"MG_eIF4E_OE_DSG_2018.csv~1.207","ENSG00000087206","UIMC1"
"MG_eIF4E_OE_DSG_2018.csv~1.208","ENSG00000087258","GNAO1"
"MG_eIF4E_OE_DSG_2018.csv~1.209","ENSG00000088305","DNMT3B"
"MG_eIF4E_OE_DSG_2018.csv~1.210","ENSG00000088682","COQ9"
"MG_eIF4E_OE_DSG_2018.csv~1.211","ENSG00000089022","MAPKAPK5"
"MG_eIF4E_OE_DSG_2018.csv~1.212","ENSG00000090661","CERS4"
"MG_eIF4E_OE_DSG_2018.csv~1.213","ENSG00000090661","CERS4"
"MG_eIF4E_OE_DSG_2018.csv~1.214","ENSG00000092036","HAUS4"
"MG_eIF4E_OE_DSG_2018.csv~1.215","ENSG00000093009","CDC45"
"MG_eIF4E_OE_DSG_2018.csv~1.216","ENSG00000099290","WASHC2A"
"MG_eIF4E_OE_DSG_2018.csv~1.217","ENSG00000100207","TCF20"
"MG_eIF4E_OE_DSG_2018.csv~1.218","ENSG00000100429","HDAC10"
"MG_eIF4E_OE_DSG_2018.csv~1.219","ENSG00000100503","NIN"
"MG_eIF4E_OE_DSG_2018.csv~1.220","ENSG00000100523","DDHD1"
"MG_eIF4E_OE_DSG_2018.csv~1.221","ENSG00000101003","GINS1"
"MG_eIF4E_OE_DSG_2018.csv~1.222","ENSG00000101003","GINS1"
"MG_eIF4E_OE_DSG_2018.csv~1.223","ENSG00000101003","GINS1"
"MG_eIF4E_OE_DSG_2018.csv~1.224","ENSG00000101040","ZMYND8"
"MG_eIF4E_OE_DSG_2018.csv~1.225","ENSG00000101247","NDUFAF5"
"MG_eIF4E_OE_DSG_2018.csv~1.226","ENSG00000101282","RSPO4"
"MG_eIF4E_OE_DSG_2018.csv~1.227","ENSG00000101353","MROH8"
"MG_eIF4E_OE_DSG_2018.csv~1.228","ENSG00000103544","VPS35L"
"MG_eIF4E_OE_DSG_2018.csv~1.229","ENSG00000105048","TNNT1"
"MG_eIF4E_OE_DSG_2018.csv~1.230","ENSG00000106976","DNM1"
"MG_eIF4E_OE_DSG_2018.csv~1.231","ENSG00000107020","PLGRKT"
"MG_eIF4E_OE_DSG_2018.csv~1.232","ENSG00000107036","RIC1"
"MG_eIF4E_OE_DSG_2018.csv~1.233","ENSG00000107521","HPS1"
"MG_eIF4E_OE_DSG_2018.csv~1.234","ENSG00000108100","CCNY"
"MG_eIF4E_OE_DSG_2018.csv~1.235","ENSG00000108387","SEPTIN4"
"MG_eIF4E_OE_DSG_2018.csv~1.236","ENSG00000108599","AKAP10"
"MG_eIF4E_OE_DSG_2018.csv~1.237","ENSG00000109861","CTSC"
"MG_eIF4E_OE_DSG_2018.csv~1.238","ENSG00000110274","CEP164"
"MG_eIF4E_OE_DSG_2018.csv~1.239","ENSG00000110446","SLC15A3"
"MG_eIF4E_OE_DSG_2018.csv~1.240","ENSG00000110693","SOX6"
"MG_eIF4E_OE_DSG_2018.csv~1.241","ENSG00000111087","GLI1"
"MG_eIF4E_OE_DSG_2018.csv~1.242","ENSG00000111237","VPS29"
"MG_eIF4E_OE_DSG_2018.csv~1.243","ENSG00000111237","VPS29"
"MG_eIF4E_OE_DSG_2018.csv~1.244","ENSG00000111325","OGFOD2"
"MG_eIF4E_OE_DSG_2018.csv~1.245","ENSG00000111711","GOLT1B"
"MG_eIF4E_OE_DSG_2018.csv~1.246","ENSG00000112624","BICRAL"
"MG_eIF4E_OE_DSG_2018.csv~1.247","ENSG00000112679","DUSP22"
"MG_eIF4E_OE_DSG_2018.csv~1.248","ENSG00000112759","SLC29A1"
"MG_eIF4E_OE_DSG_2018.csv~1.249","ENSG00000113360","DROSHA"
"MG_eIF4E_OE_DSG_2018.csv~1.250","ENSG00000113658","SMAD5"
"MG_eIF4E_OE_DSG_2018.csv~1.251","ENSG00000114735","HEMK1"
"MG_eIF4E_OE_DSG_2018.csv~1.252","ENSG00000115020","PIKFYVE"
"MG_eIF4E_OE_DSG_2018.csv~1.253","ENSG00000115459","ELMOD3"
"MG_eIF4E_OE_DSG_2018.csv~1.254","ENSG00000115904","SOS1"
"MG_eIF4E_OE_DSG_2018.csv~1.255","ENSG00000116396","KCNC4"
"MG_eIF4E_OE_DSG_2018.csv~1.256","ENSG00000117481","NSUN4"
"MG_eIF4E_OE_DSG_2018.csv~1.257","ENSG00000117625","RCOR3"
"MG_eIF4E_OE_DSG_2018.csv~1.258","ENSG00000118194","TNNT2"
"MG_eIF4E_OE_DSG_2018.csv~1.259","ENSG00000118263","KLF7"
"MG_eIF4E_OE_DSG_2018.csv~1.260","ENSG00000118495","PLAGL1"
"MG_eIF4E_OE_DSG_2018.csv~1.261","ENSG00000118495","PLAGL1"
"MG_eIF4E_OE_DSG_2018.csv~1.262","ENSG00000119844","AFTPH"
"MG_eIF4E_OE_DSG_2018.csv~1.263","ENSG00000119912","IDE"
"MG_eIF4E_OE_DSG_2018.csv~1.264","ENSG00000120519","SLC10A7"
"MG_eIF4E_OE_DSG_2018.csv~1.265","ENSG00000120913","PDLIM2"
"MG_eIF4E_OE_DSG_2018.csv~1.266","ENSG00000120925","RNF170"
"MG_eIF4E_OE_DSG_2018.csv~1.267","ENSG00000122257","RBBP6"
"MG_eIF4E_OE_DSG_2018.csv~1.268","ENSG00000122417","ODF2L"
"MG_eIF4E_OE_DSG_2018.csv~1.269","ENSG00000122483","CCDC18"
"MG_eIF4E_OE_DSG_2018.csv~1.270","ENSG00000122966","CIT"
"MG_eIF4E_OE_DSG_2018.csv~1.271","ENSG00000123411","IKZF4"
"MG_eIF4E_OE_DSG_2018.csv~1.272","ENSG00000125485","DDX31"
"MG_eIF4E_OE_DSG_2018.csv~1.273","ENSG00000127952","STYXL1"
"MG_eIF4E_OE_DSG_2018.csv~1.274","ENSG00000129116","PALLD"
"MG_eIF4E_OE_DSG_2018.csv~1.275","ENSG00000129295","LRRC6"
"MG_eIF4E_OE_DSG_2018.csv~1.276","ENSG00000132849","PATJ"
"MG_eIF4E_OE_DSG_2018.csv~1.277","ENSG00000133460","SLC2A11"
"MG_eIF4E_OE_DSG_2018.csv~1.278","ENSG00000133739","LRRCC1"
"MG_eIF4E_OE_DSG_2018.csv~1.279","ENSG00000135124","P2RX4"
"MG_eIF4E_OE_DSG_2018.csv~1.280","ENSG00000135297","MTO1"
"MG_eIF4E_OE_DSG_2018.csv~1.281","ENSG00000135297","MTO1"
"MG_eIF4E_OE_DSG_2018.csv~1.282","ENSG00000135317","SNX14"
"MG_eIF4E_OE_DSG_2018.csv~1.283","ENSG00000135506","OS9"
"MG_eIF4E_OE_DSG_2018.csv~1.284","ENSG00000135541","AHI1"
"MG_eIF4E_OE_DSG_2018.csv~1.285","ENSG00000135597","REPS1"
"MG_eIF4E_OE_DSG_2018.csv~1.286","ENSG00000136068","FLNB"
"MG_eIF4E_OE_DSG_2018.csv~1.287","ENSG00000136856","SLC2A8"
"MG_eIF4E_OE_DSG_2018.csv~1.288","ENSG00000137501","SYTL2"
"MG_eIF4E_OE_DSG_2018.csv~1.289","ENSG00000137819","PAQR5"
"MG_eIF4E_OE_DSG_2018.csv~1.290","ENSG00000138101","DTNB"
"MG_eIF4E_OE_DSG_2018.csv~1.291","ENSG00000138376","BARD1"
"MG_eIF4E_OE_DSG_2018.csv~1.292","ENSG00000138688","KIAA1109"
"MG_eIF4E_OE_DSG_2018.csv~1.293","ENSG00000138834","MAPK8IP3"
"MG_eIF4E_OE_DSG_2018.csv~1.294","ENSG00000139178","C1RL"
"MG_eIF4E_OE_DSG_2018.csv~1.295","ENSG00000139613","SMARCC2"
"MG_eIF4E_OE_DSG_2018.csv~1.296","ENSG00000140262","TCF12"
"MG_eIF4E_OE_DSG_2018.csv~1.297","ENSG00000140750","ARHGAP17"
"MG_eIF4E_OE_DSG_2018.csv~1.298","ENSG00000141127","PRPSAP2"
"MG_eIF4E_OE_DSG_2018.csv~1.299","ENSG00000143344","RGL1"
"MG_eIF4E_OE_DSG_2018.csv~1.300","ENSG00000143786","CNIH3"
"MG_eIF4E_OE_DSG_2018.csv~1.301","ENSG00000144182","LIPT1"
"MG_eIF4E_OE_DSG_2018.csv~1.302","ENSG00000145414","NAF1"
"MG_eIF4E_OE_DSG_2018.csv~1.303","ENSG00000145725","PPIP5K2"
"MG_eIF4E_OE_DSG_2018.csv~1.304","ENSG00000147010","SH3KBP1"
"MG_eIF4E_OE_DSG_2018.csv~1.305","ENSG00000147439","BIN3"
"MG_eIF4E_OE_DSG_2018.csv~1.306","ENSG00000148153","INIP"
"MG_eIF4E_OE_DSG_2018.csv~1.307","ENSG00000148516","ZEB1"
"MG_eIF4E_OE_DSG_2018.csv~1.308","ENSG00000148985","PGAP2"
"MG_eIF4E_OE_DSG_2018.csv~1.309","ENSG00000150471","ADGRL3"
"MG_eIF4E_OE_DSG_2018.csv~1.310","ENSG00000150995","ITPR1"
"MG_eIF4E_OE_DSG_2018.csv~1.311","ENSG00000151422","FER"
"MG_eIF4E_OE_DSG_2018.csv~1.312","ENSG00000151665","PIGF"
"MG_eIF4E_OE_DSG_2018.csv~1.313","ENSG00000151746","BICD1"
"MG_eIF4E_OE_DSG_2018.csv~1.314","ENSG00000151806","GUF1"
"MG_eIF4E_OE_DSG_2018.csv~1.315","ENSG00000151806","GUF1"
"MG_eIF4E_OE_DSG_2018.csv~1.316","ENSG00000151881","TMEM267"
"MG_eIF4E_OE_DSG_2018.csv~1.317","ENSG00000152061","RABGAP1L"
"MG_eIF4E_OE_DSG_2018.csv~1.318","ENSG00000152127","MGAT5"
"MG_eIF4E_OE_DSG_2018.csv~1.319","ENSG00000152348","ATG10"
"MG_eIF4E_OE_DSG_2018.csv~1.320","ENSG00000152683","SLC30A6"
"MG_eIF4E_OE_DSG_2018.csv~1.321","ENSG00000153029","MR1"
"MG_eIF4E_OE_DSG_2018.csv~1.322","ENSG00000154134","ROBO3"
"MG_eIF4E_OE_DSG_2018.csv~1.323","ENSG00000154920","EME1"
"MG_eIF4E_OE_DSG_2018.csv~1.324","ENSG00000155313","USP25"
"MG_eIF4E_OE_DSG_2018.csv~1.325","ENSG00000155846","PPARGC1B"
